file_path,classification,reason,referenced_by,imports,confidence,sha256
frontend/src/pages/DashboardOverview.jsx,DEFINITELY DEAD,Not routed in App.jsx not imported by any file,NONE,NONE (imports DashboardKpis AIEngineStatus DashboardSummary DashboardCharts),100,see SHA256SUMS.txt
frontend/src/components/map/MapFilters.jsx,DEFINITELY DEAD,Never imported by any component or page,NONE,NONE,100,see SHA256SUMS.txt
frontend/src/components/dashboard/DashboardKpis.jsx,DEFINITELY DEAD,Only imported by dead DashboardOverview.jsx,DashboardOverview.jsx:9,imports AnimatedNumber recharts lucide-react framer-motion,100,see SHA256SUMS.txt
frontend/src/components/dashboard/AIEngineStatus.jsx,DEFINITELY DEAD,Only imported by dead DashboardOverview.jsx,DashboardOverview.jsx:10,imports lucide-react framer-motion,100,see SHA256SUMS.txt
frontend/src/components/dashboard/DashboardSummary.jsx,DEFINITELY DEAD,Only imported by dead DashboardOverview.jsx,DashboardOverview.jsx:11,imports lucide-react framer-motion,100,see SHA256SUMS.txt
frontend/src/components/dashboard/DashboardCharts.jsx,DEFINITELY DEAD,Only imported by dead DashboardOverview.jsx,DashboardOverview.jsx:14,imports recharts framer-motion,100,see SHA256SUMS.txt
backend/app/engine/optimizer.py,DEFINITELY DEAD,AIOrchestrator legacy sole route returns 410 zero active imports,NONE (only dead scratch scripts),imports ortools requests json app.db.models,100,see SHA256SUMS.txt
backend/app/engine/explainability.py,DEFINITELY DEAD,Zero imports anywhere in codebase,NONE,imports app.db.models,100,see SHA256SUMS.txt
scripts/scratch_analysis_r1.py,DEFINITELY DEAD,Unreferenced untracked scratch script,NONE,imports app.dmfe.pipeline app.db.database enum,100,see SHA256SUMS.txt
scripts/scratch_baseline_r1.py,DEFINITELY DEAD,Unreferenced untracked scratch script,NONE,imports app.engine.optimizer app.db.database,100,see SHA256SUMS.txt
scripts/scratch_r1_3.py,DEFINITELY DEAD,Unreferenced untracked scratch script,NONE,imports app.engine.optimizer app.dmfe.pipeline app.db.database,100,see SHA256SUMS.txt
scripts/scratch_r1_4.py,DEFINITELY DEAD,Unreferenced untracked scratch script,NONE,imports app.dmfe.pipeline app.db.database,100,see SHA256SUMS.txt
scripts/scratch_r1_5.py,DEFINITELY DEAD,Unreferenced untracked scratch script,NONE,imports app.dmfe.pipeline app.db.database,100,see SHA256SUMS.txt
scripts/scratch_per_service_r1.py,DEFINITELY DEAD,Unreferenced untracked scratch script,NONE,imports app.dmfe.pipeline app.db.database,100,see SHA256SUMS.txt
